"16:53:41","04/03/2002","MARKD6","NEWDELL1","EXWAFFLEMA001056","30-Day","067-150-005-192-067-218-140","acacc"
"16:53:41","04/03/2002","MARKD6","NEWDELL1","EXWAFFLEMA001056","1 User","067-150-005-192-067-218-140","acacc"
"16:53:43","04/03/2002","MARKD6","NEWDELL1","EXWAFFLEMA001056","Full","067-150-005-192-067-218-140","acacc"
"16:53:46","04/03/2002","MARKD6","NEWDELL1","EXWAFFLEMA001056","6 User","067-150-005-192-067-218-140","acacc"
"16:55:54","04/03/2002","MARKD6","NEWDELL1","EXWAFFLEMA001056","Full","067-150-005-192-067-218-140","","", "","","","","","","","",""
"16:57:33","04/03/2002","MARKD6","NEWDELL1","EXWAFFLEMA001056","Full","067-150-005-192-067-218-140","ALBE01","Albert Ball Ltd", "Mr Albert Ball","Albert House","Wobblethorpe Lane","WobbleThorpe","Scumblefordshire","AK47 ZSU","01234 5678901","ABall@AlbertBall.Com","NOTE: Self Important Little Twerp - Sells Toilet Rolls"
"16:57:42","04/03/2002","MARKD6","NEWDELL1","EXWAFFLEMA001056","3 User","067-150-005-192-067-218-140","ALBE01","Albert Ball Ltd", "Mr Albert Ball","Albert House","Wobblethorpe Lane","WobbleThorpe","Scumblefordshire","AK47 ZSU","01234 5678901","ABall@AlbertBall.Com","NOTE: Self Important Little Twerp - Sells Toilet Rolls"
"17:02:08","04/03/2002","MARKD6","NEWDELL1","EXWAFFLEMA001056","Full","067-150-005-192-067-218-140","COOP01","Coopers Of Skimwattle","Mr J Cooper","175 Station Road","Skimwattle","Devon","DE12 3ER","","01345 932482","Info.Coopers@FSNet.Co.Uk","Sells Pots and Pans"
"14:37:35","06/03/2002","markd6","NEWDELL1","EXWAFFLEMA001056","30-Day","067-150-005-192-067-218-140",""
"14:37:35","06/03/2002","markd6","NEWDELL1","EXWAFFLEMA001056","5 User","067-150-005-192-067-218-140",""
"14:39:05","06/03/2002","markd6","NEWDELL1","EXWAFFLEMA001056","1 User","067-150-005-192-067-218-140",""
"14:39:07","06/03/2002","markd6","NEWDELL1","EXWAFFLEMA001056","6 User","067-150-005-192-067-218-140",""
"12:27:55","07/03/2002","markd6","NEWDELL1","EXCHCARRGE000007","30-Day","067-150-005-192-067-218-140",""
"12:28:15","07/03/2002","markd6","NEWDELL1","EXWAFFLEMA001056","1 User","067-150-005-192-067-218-140",""
"14:34:27","04/10/2004","MARKD6","VMDEV","COOPWIDGET100001","30-Day","175-150-008-099-212-104-229","","","","","","","","","","",""
